id,format,season,season_year,episodes,genres,source,tags,studios
1,TV,SPRING,1998.0,26.0,"[""ACTION"", ""ADVENTURE"", ""DRAMA"", ""SCI-FI""]",ORIGINAL,"[""SPACE"", ""CRIME"", ""EPISODIC"", ""ENSEMBLE CAST"", ""PRIMARILY ADULT CAST"", ""NOIR"", ""TRAGEDY"", ""CYBERPUNK"", ""GUNS"", ""MALE PROTAGONIST"", ""PHILOSOPHY"", ""MARTIAL ARTS"", ""ANTI-HERO"", ""AMNESIA"", ""CYBORG"", ""TERRORISM"", ""GAMBLING"", ""YAKUZA"", ""DRUGS"", ""CULT"", ""TANNED SKIN"", ""TRANSGENDER"", ""POLICE"", ""LGBTQ+ THEMES"", ""GENDER BENDING"", ""TRAVEL""]","[""SUNRISE""]"
5,MOVIE,SUMMER,2001.0,1.0,"[""ACTION"", ""DRAMA"", ""MYSTERY"", ""SCI-FI""]",ORIGINAL,"[""TERRORISM"", ""PRIMARILY ADULT CAST"", ""MARTIAL ARTS"", ""SPACE"", ""CRIME"", ""MALE PROTAGONIST"", ""PHILOSOPHY"", ""MILITARY"", ""NOIR"", ""ENSEMBLE CAST"", ""GUNS"", ""AMNESIA"", ""CYBERPUNK"", ""ANTI-HERO"", ""FOREIGN"", ""CYBORG"", ""WORK""]","[""BONES"", ""SUNRISE""]"
6,TV,SPRING,1998.0,26.0,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""DRAMA"", ""SCI-FI""]",MANGA,"[""GUNS"", ""FUGITIVE"", ""PHILOSOPHY"", ""MALE PROTAGONIST"", ""PRIMARILY ADULT CAST"", ""CRIME"", ""TRAGEDY"", ""SHOUNEN"", ""EPISODIC"", ""TWINS"", ""ALIENS"", ""SPACE"", ""RELIGION"", ""SLAPSTICK"", ""BODY HORROR""]","[""MADHOUSE""]"
7,TV,SUMMER,2002.0,26.0,"[""ACTION"", ""DRAMA"", ""MYSTERY"", ""SUPERNATURAL""]",ORIGINAL,"[""FEMALE PROTAGONIST"", ""WITCH"", ""MAGIC"", ""POLICE"", ""CONSPIRACY"", ""URBAN FANTASY"", ""PRIMARILY ADULT CAST"", ""NOIR"", ""FUGITIVE"", ""KUUDERE""]","[""SUNRISE""]"
15,TV,SPRING,2005.0,145.0,"[""ACTION"", ""COMEDY"", ""SPORTS""]",MANGA,"[""AMERICAN FOOTBALL"", ""SHOUNEN"", ""MALE PROTAGONIST"", ""PRIMARILY MALE CAST"", ""SCHOOL"", ""SCHOOL CLUB"", ""COMING OF AGE"", ""SLAPSTICK"", ""DELINQUENTS"", ""BULLYING"", ""TRAGEDY""]","[""STUDIO GALLOP""]"
16,TV,SPRING,2005.0,24.0,"[""COMEDY"", ""DRAMA"", ""ROMANCE"", ""SLICE OF LIFE""]",MANGA,"[""COMING OF AGE"", ""JOSEI"", ""MALE PROTAGONIST"", ""COLLEGE"", ""PRIMARILY ADULT CAST"", ""LOVE TRIANGLE"", ""HETEROSEXUAL"", ""PRIMARILY MALE CAST"", ""DRAWING"", ""CHIBI"", ""KUUDERE""]","[""J.C. STAFF""]"
17,TV,FALL,2002.0,52.0,"[""COMEDY"", ""SLICE OF LIFE"", ""SPORTS""]",MANGA,"[""SHOUNEN"", ""FOOTBALL"", ""PRIMARILY MALE CAST"", ""SCHOOL CLUB""]","[""NIPPON ANIMATION""]"
18,TV,SPRING,2004.0,24.0,"[""ACTION"", ""DRAMA"", ""SPORTS""]",MANGA,"[""CARS"", ""SEINEN"", ""CGI"", ""RURAL"", ""PRIMARILY ADULT CAST"", ""MALE PROTAGONIST"", ""HETEROSEXUAL"", ""PRIMARILY MALE CAST""]","[""A.C.G.T.""]"
19,TV,SPRING,2004.0,74.0,"[""DRAMA"", ""HORROR"", ""MYSTERY"", ""PSYCHOLOGICAL"", ""THRILLER""]",MANGA,"[""CRIME"", ""SEINEN"", ""DETECTIVE"", ""ENSEMBLE CAST"", ""PHILOSOPHY"", ""FUGITIVE"", ""REVENGE"", ""PRIMARILY ADULT CAST"", ""MEMORY MANIPULATION"", ""NOIR"", ""CONSPIRACY"", ""TRAGEDY"", ""TWINS"", ""POLITICS"", ""AMNESIA"", ""POLICE"", ""DISSOCIATIVE IDENTITIES"", ""ADOPTION"", ""FOREIGN"", ""HISTORICAL"", ""MALE PROTAGONIST"", ""MEDICINE"", ""GUNS"", ""SUICIDE"", ""TIME SKIP"", ""TRAVEL"", ""TORTURE"", ""CROSSDRESSING"", ""ORPHAN"", ""RAPE"", ""GORE""]","[""MADHOUSE""]"
20,TV,FALL,2002.0,220.0,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""DRAMA"", ""FANTASY"", ""SUPERNATURAL""]",MANGA,"[""NINJA"", ""SHOUNEN"", ""COMING OF AGE"", ""MALE PROTAGONIST"", ""SUPER POWER"", ""CULTIVATION"", ""REVENGE"", ""MARTIAL ARTS"", ""SHAPESHIFTING"", ""ANACHRONISM"", ""FOUND FAMILY"", ""PRIMARILY CHILD CAST"", ""TRAGEDY"", ""KAIJU"", ""ORPHAN"", ""ENSEMBLE CAST"", ""BULLYING"", ""TRAVEL"", ""DEMONS"", ""SLAPSTICK"", ""GENDER BENDING"", ""SCHOOL"", ""ASSASSINS"", ""NUDITY""]","[""STUDIO PIERROT""]"
