media_id,status,score
99725,COMPLETED,7
98251,COMPLETED,7
21058,COMPLETED,7
20613,COMPLETED,6
47,COMPLETED,8
6547,COMPLETED,7
9989,COMPLETED,8
11111,COMPLETED,8
11701,COMPLETED,8
9919,COMPLETED,7
21665,COMPLETED,8
2251,COMPLETED,8
3901,COMPLETED,7
100665,COMPLETED,7
5081,COMPLETED,8
100388,COMPLETED,8
100245,COMPLETED,3
21560,COMPLETED,5
97643,COMPLETED,4
10218,COMPLETED,8
12113,COMPLETED,8
12115,COMPLETED,8
97940,COMPLETED,6
87528,COMPLETED,6
889,COMPLETED,7
97994,COMPLETED,7
11633,COMPLETED,8
18441,COMPLETED,8
10490,COMPLETED,3
21234,COMPLETED,8
21459,COMPLETED,9
21856,COMPLETED,9
100166,COMPLETED,9
104276,COMPLETED,7
87486,COMPLETED,7
14345,COMPLETED,6
21851,COMPLETED,3
98519,COMPLETED,5
14741,COMPLETED,8
97832,COMPLETED,6
1818,COMPLETED,7
21563,COMPLETED,4
8888,COMPLETED,7
15197,COMPLETED,8
15199,COMPLETED,7
15201,COMPLETED,6
21178,COMPLETED,6
1575,COMPLETED,9
2904,COMPLETED,8
99131,COMPLETED,5
1,COMPLETED,9
5,COMPLETED,9
4037,COMPLETED,8
21365,COMPLETED,6
99734,COMPLETED,6
20735,COMPLETED,7
21000,COMPLETED,7
11843,COMPLETED,8
12893,COMPLETED,7
99423,COMPLETED,7
6880,COMPLETED,4
97907,COMPLETED,7
1535,COMPLETED,6
20931,COMPLETED,7
97592,COMPLETED,7
98460,COMPLETED,7
99531,COMPLETED,4
21256,COMPLETED,6
223,COMPLETED,8
225,COMPLETED,6
987,COMPLETED,4
502,COMPLETED,6
891,COMPLETED,5
892,COMPLETED,7
893,COMPLETED,6
2520,COMPLETED,6
21175,COMPLETED,8
101302,COMPLETED,8
813,COMPLETED,8
894,COMPLETED,5
895,COMPLETED,5
896,COMPLETED,6
897,COMPLETED,7
898,COMPLETED,7
899,COMPLETED,6
900,COMPLETED,6
901,COMPLETED,8
902,COMPLETED,6
903,COMPLETED,5
904,COMPLETED,5
905,COMPLETED,8
906,COMPLETED,6
