media_id,status,score,progress,completedAt
99725,COMPLETED,7,12,04-08-2019
98251,COMPLETED,7,12,11-01-2019
21058,COMPLETED,7,12,04-06-2022
20613,COMPLETED,6,24,09-20-2021
47,COMPLETED,8,1,09-08-2021
6547,COMPLETED,7,13,
9989,COMPLETED,8,11,10-11-2020
11111,COMPLETED,8,12,11-28-2018
11701,COMPLETED,8,1,11-28-2018
9919,COMPLETED,7,25,09-06-2022
21665,COMPLETED,8,12,05-09-2020
2251,COMPLETED,8,13,01-09-2018
3901,COMPLETED,7,3,01-09-2018
100665,COMPLETED,7,10,04-07-2019
5081,COMPLETED,8,15,10-13-2020
100388,COMPLETED,8,24,02-23-2019
100245,COMPLETED,3,24,04-23-2020
21560,COMPLETED,5,12,11-25-2017
97643,COMPLETED,4,12,11-25-2017
10218,COMPLETED,8,1,
12113,COMPLETED,8,1,
12115,COMPLETED,8,1,
97940,COMPLETED,6,170,04-06-2021
87528,COMPLETED,6,1,
889,COMPLETED,7,12,05-07-2021
97994,COMPLETED,7,12,04-05-2019
11633,COMPLETED,8,10,11-26-2018
18441,COMPLETED,8,1,11-26-2018
10490,COMPLETED,3,12,08-25-2020
21234,COMPLETED,8,12,09-07-2021
21459,COMPLETED,9,13,01-05-2018
21856,COMPLETED,9,25,
100166,COMPLETED,9,25,01-14-2018
104276,COMPLETED,7,25,04-09-2020
87486,COMPLETED,7,1,01-07-2018
14345,COMPLETED,6,12,09-23-2020
21851,COMPLETED,3,12,11-25-2017
98519,COMPLETED,5,12,09-01-2020
14741,COMPLETED,8,12,11-10-2019
97832,COMPLETED,6,12,01-17-2018
1818,COMPLETED,7,26,09-27-2021
21563,COMPLETED,4,12,11-29-2017
8888,COMPLETED,7,1,01-31-2019
15197,COMPLETED,8,1,01-31-2019
15199,COMPLETED,7,1,02-01-2019
15201,COMPLETED,6,1,02-01-2019
21178,COMPLETED,6,1,02-02-2019
1575,COMPLETED,9,25,01-24-2019
2904,COMPLETED,8,25,01-28-2019
99131,COMPLETED,5,12,01-24-2018
1,COMPLETED,9,26,11-25-2017
5,COMPLETED,9,1,02-19-2018
4037,COMPLETED,8,1,
21365,COMPLETED,6,12,
99734,COMPLETED,6,12,04-18-2018
20735,COMPLETED,7,13,03-14-2018
21000,COMPLETED,7,13,03-15-2018
11843,COMPLETED,8,12,08-02-2018
12893,COMPLETED,7,6,01-14-2018
99423,COMPLETED,7,24,09-13-2020
6880,COMPLETED,4,12,04-08-2020
97907,COMPLETED,7,12,11-07-2019
1535,COMPLETED,6,37,02-19-2021
20931,COMPLETED,7,12,08-17-2018
97592,COMPLETED,7,12,10-08-2019
98460,COMPLETED,7,10,04-08-2018
99531,COMPLETED,4,12,02-24-2019
21256,COMPLETED,6,12,03-29-2020
223,COMPLETED,8,153,11-25-2017
225,COMPLETED,6,64,11-25-2017
987,COMPLETED,4,1,04-26-2018
502,COMPLETED,6,1,
891,COMPLETED,5,1,
892,COMPLETED,7,1,04-12-2018
893,COMPLETED,6,1,
2520,COMPLETED,6,2,04-08-2018
21175,COMPLETED,8,131,03-26-2018
101302,COMPLETED,8,1,04-07-2019
813,COMPLETED,8,291,
894,COMPLETED,5,1,
895,COMPLETED,5,1,
896,COMPLETED,6,1,
897,COMPLETED,7,1,
898,COMPLETED,7,1,
899,COMPLETED,6,1,
900,COMPLETED,6,1,
901,COMPLETED,8,1,
902,COMPLETED,6,1,
903,COMPLETED,5,1,
904,COMPLETED,5,1,
905,COMPLETED,8,1,
906,COMPLETED,6,1,
14837,COMPLETED,7,1,
20778,COMPLETED,6,1,03-06-2018
986,COMPLETED,8,1,
985,COMPLETED,7,1,
984,COMPLETED,6,2,
12231,COMPLETED,7,1,
5152,COMPLETED,6,1,04-22-2018
10017,COMPLETED,5,1,
21685,COMPLETED,3,12,11-25-2017
98035,COMPLETED,8,25,08-07-2018
21717,COMPLETED,4,13,11-25-2018
97815,COMPLETED,7,1,11-08-2019
14829,COMPLETED,6,10,12-03-2018
20845,COMPLETED,5,10,12-16-2018
21325,COMPLETED,5,5,12-20-2018
20467,COMPLETED,5,10,12-06-2018
20945,COMPLETED,5,5,12-09-2018
20862,COMPLETED,5,1,12-09-2018
21379,COMPLETED,4,12,12-20-2018
87488,COMPLETED,4,6,12-20-2018
19109,COMPLETED,4,5,12-03-2018
356,COMPLETED,6,24,01-08-2018
19603,COMPLETED,8,12,01-17-2018
20792,COMPLETED,8,13,01-25-2018
21318,COMPLETED,6,1,03-15-2018
10087,COMPLETED,8,13,03-24-2018
11741,COMPLETED,8,12,04-03-2018
227,COMPLETED,8,6,
21748,COMPLETED,6,6,07-19-2020
21746,COMPLETED,6,6,07-19-2020
21284,COMPLETED,7,12,06-15-2020
5114,COMPLETED,9,64,11-25-2017
6421,COMPLETED,8,4,03-05-2018
4725,COMPLETED,4,12,08-24-2020
21878,COMPLETED,9,12,12-25-2018
98524,COMPLETED,8,2,12-25-2018
239,COMPLETED,8,24,05-04-2022
16918,COMPLETED,8,11,11-25-2018
19363,COMPLETED,8,11,11-25-2018
14131,COMPLETED,6,12,
18617,COMPLETED,6,1,02-11-2018
15811,COMPLETED,5,6,
18619,COMPLETED,6,1,
101165,COMPLETED,8,12,12-28-2018
20849,COMPLETED,6,13,02-01-2018
99699,COMPLETED,7,12,07-27-2018
102977,COMPLETED,8,12,12-29-2018
100922,COMPLETED,9,12,11-04-2018
99748,COMPLETED,7,12,04-14-2020
413,COMPLETED,1,1,03-23-2019
101351,COMPLETED,7,12,03-03-2019
15809,COMPLETED,7,13,01-22-2018
100977,COMPLETED,8,13,01-04-2018
105662,COMPLETED,7,1,12-28-2018
270,COMPLETED,6,13,
777,COMPLETED,8,10,12-22-2017
11077,COMPLETED,7,3,04-04-2018
5630,COMPLETED,7,11,03-10-2022
8074,COMPLETED,5,12,04-10-2020
20634,COMPLETED,7,13,12-03-2018
578,COMPLETED,9,1,04-16-2018
98707,COMPLETED,8,12,01-14-2018
431,COMPLETED,9,1,03-26-2019
11061,COMPLETED,9,148,
98596,COMPLETED,7,12,03-24-2019
97922,COMPLETED,8,11,01-02-2018
101970,COMPLETED,3,6,08-29-2020
10357,COMPLETED,7,12,05-26-2020
21033,COMPLETED,7,13,09-04-2018
14719,COMPLETED,9,26,04-09-2019
21450,COMPLETED,8,39,07-24-2019
102883,COMPLETED,8,39,09-23-2019
20474,COMPLETED,9,24,04-18-2019
20799,COMPLETED,9,24,04-22-2019
21291,COMPLETED,5,12,09-17-2020
12413,COMPLETED,7,12,04-24-2021
20951,COMPLETED,6,12,11-09-2019
98443,COMPLETED,6,12,07-04-2019
5680,COMPLETED,10,13,03-13-2018
9617,COMPLETED,9,1,09-14-2020
7791,COMPLETED,10,26,05-18-2018
9734,COMPLETED,9,1,
9203,COMPLETED,5,9,03-15-2018
6862,COMPLETED,9,1,
7017,COMPLETED,5,7,03-15-2018
101921,COMPLETED,8,12,04-06-2019
8525,COMPLETED,6,12,10-29-2020
10372,COMPLETED,5,13,05-13-2022
20553,COMPLETED,4,12,10-17-2020
667,COMPLETED,6,12,04-27-2019
6594,COMPLETED,10,12,09-13-2020
20727,COMPLETED,6,12,01-09-2018
97886,COMPLETED,7,12,02-12-2018
33,COMPLETED,9,25,12-05-2017
18679,COMPLETED,7,24,11-25-2017
21519,COMPLETED,9,1,12-29-2018
99750,COMPLETED,9,1,06-03-2019
20623,COMPLETED,9,24,
21421,COMPLETED,7,12,10-08-2019
21776,COMPLETED,8,13,
107717,COMPLETED,7,12,10-28-2021
98580,COMPLETED,8,1,
20954,COMPLETED,9,1,
