id,status,score,progress,completedAt,media_id
59107597,COMPLETED,7,12,04-08-2019,99725
59107598,COMPLETED,7,12,11-01-2019,98251
59107599,COMPLETED,7,12,04-06-2022,21058
59107600,COMPLETED,6,24,09-20-2021,20613
59107601,COMPLETED,8,1,09-08-2021,47
59107603,COMPLETED,7,13,,6547
59107604,COMPLETED,8,11,10-11-2020,9989
59107605,COMPLETED,8,12,11-28-2018,11111
59107606,COMPLETED,8,1,11-28-2018,11701
59107609,COMPLETED,7,25,09-06-2022,9919
59107613,COMPLETED,8,12,05-09-2020,21665
59107614,COMPLETED,8,13,01-09-2018,2251
59107615,COMPLETED,7,3,01-09-2018,3901
59107616,COMPLETED,7,10,04-07-2019,100665
59107617,COMPLETED,8,15,10-13-2020,5081
59107618,COMPLETED,8,24,02-23-2019,100388
59107620,COMPLETED,3,24,04-23-2020,100245
59107621,COMPLETED,5,12,11-25-2017,21560
59107622,COMPLETED,4,12,11-25-2017,97643
59107623,COMPLETED,8,1,,10218
59107624,COMPLETED,8,1,,12113
59107625,COMPLETED,8,1,,12115
59107627,COMPLETED,6,170,04-06-2021,97940
59107628,COMPLETED,6,1,,87528
59107629,COMPLETED,7,12,05-07-2021,889
59107632,COMPLETED,7,12,04-05-2019,97994
59107633,COMPLETED,8,10,11-26-2018,11633
59107634,COMPLETED,8,1,11-26-2018,18441
59107635,COMPLETED,3,12,08-25-2020,10490
59107637,COMPLETED,8,12,09-07-2021,21234
59107638,COMPLETED,9,13,01-05-2018,21459
59107639,COMPLETED,9,25,,21856
59107640,COMPLETED,9,25,01-14-2018,100166
59107641,COMPLETED,7,25,04-09-2020,104276
59107643,COMPLETED,7,1,01-07-2018,87486
59107646,COMPLETED,6,12,09-23-2020,14345
59107648,COMPLETED,3,12,11-25-2017,21851
59107650,COMPLETED,5,12,09-01-2020,98519
59107653,COMPLETED,8,12,11-10-2019,14741
59107654,COMPLETED,6,12,01-17-2018,97832
59107658,COMPLETED,7,26,09-27-2021,1818
59107659,COMPLETED,4,12,11-29-2017,21563
59107660,COMPLETED,7,1,01-31-2019,8888
59107661,COMPLETED,8,1,01-31-2019,15197
59107662,COMPLETED,7,1,02-01-2019,15199
59107663,COMPLETED,6,1,02-01-2019,15201
59107664,COMPLETED,6,1,02-02-2019,21178
59107665,COMPLETED,9,25,01-24-2019,1575
59107666,COMPLETED,8,25,01-28-2019,2904
59107667,COMPLETED,5,12,01-24-2018,99131
59107668,COMPLETED,9,26,11-25-2017,1
59107669,COMPLETED,9,1,02-19-2018,5
59107670,COMPLETED,8,1,,4037
59107673,COMPLETED,6,12,,21365
59107674,COMPLETED,6,12,04-18-2018,99734
59107675,COMPLETED,7,13,03-14-2018,20735
59107676,COMPLETED,7,13,03-15-2018,21000
59107677,COMPLETED,8,12,08-02-2018,11843
59107678,COMPLETED,7,6,01-14-2018,12893
59107681,COMPLETED,7,24,09-13-2020,99423
59107682,COMPLETED,4,12,04-08-2020,6880
59107683,COMPLETED,7,12,11-07-2019,97907
59107684,COMPLETED,6,37,02-19-2021,1535
59107685,COMPLETED,7,12,08-17-2018,20931
59107686,COMPLETED,7,12,10-08-2019,97592
59107688,COMPLETED,7,10,04-08-2018,98460
59107689,COMPLETED,4,12,02-24-2019,99531
59107690,COMPLETED,6,12,03-29-2020,21256
59107692,COMPLETED,8,153,11-25-2017,223
59107693,COMPLETED,6,64,11-25-2017,225
59107694,COMPLETED,4,1,04-26-2018,987
59107695,COMPLETED,6,1,,502
59107696,COMPLETED,5,1,,891
59107697,COMPLETED,7,1,04-12-2018,892
59107698,COMPLETED,6,1,,893
59107699,COMPLETED,6,2,04-08-2018,2520
59107700,COMPLETED,8,131,03-26-2018,21175
59107701,COMPLETED,8,1,04-07-2019,101302
59107702,COMPLETED,8,291,,813
59107703,COMPLETED,5,1,,894
59107704,COMPLETED,5,1,,895
59107705,COMPLETED,6,1,,896
59107706,COMPLETED,7,1,,897
59107707,COMPLETED,7,1,,898
59107708,COMPLETED,6,1,,899
59107709,COMPLETED,6,1,,900
59107710,COMPLETED,8,1,,901
59107711,COMPLETED,6,1,,902
59107712,COMPLETED,5,1,,903
59107713,COMPLETED,5,1,,904
59107714,COMPLETED,8,1,,905
59107715,COMPLETED,6,1,,906
59107716,COMPLETED,7,1,,14837
59107717,COMPLETED,6,1,03-06-2018,20778
59107718,COMPLETED,8,1,,986
59107719,COMPLETED,7,1,,985
59107720,COMPLETED,6,2,,984
59107721,COMPLETED,7,1,,12231
59107722,COMPLETED,6,1,04-22-2018,5152
59107723,COMPLETED,5,1,,10017
59107730,COMPLETED,3,12,11-25-2017,21685
59107734,COMPLETED,8,25,08-07-2018,98035
59107735,COMPLETED,4,13,11-25-2018,21717
59107736,COMPLETED,7,1,11-08-2019,97815
59107737,COMPLETED,6,10,12-03-2018,14829
59107738,COMPLETED,5,10,12-16-2018,20845
59107739,COMPLETED,5,5,12-20-2018,21325
59107740,COMPLETED,5,10,12-06-2018,20467
59107741,COMPLETED,5,5,12-09-2018,20945
59107742,COMPLETED,5,1,12-09-2018,20862
59107743,COMPLETED,4,12,12-20-2018,21379
59107744,COMPLETED,4,6,12-20-2018,87488
59107747,COMPLETED,4,5,12-03-2018,19109
59107748,COMPLETED,6,24,01-08-2018,356
59107749,COMPLETED,8,12,01-17-2018,19603
59107750,COMPLETED,8,13,01-25-2018,20792
59107751,COMPLETED,6,1,03-15-2018,21318
59107752,COMPLETED,8,13,03-24-2018,10087
59107753,COMPLETED,8,12,04-03-2018,11741
59107754,COMPLETED,8,6,,227
59107755,COMPLETED,6,6,07-19-2020,21748
59107756,COMPLETED,6,6,07-19-2020,21746
59107757,COMPLETED,7,12,06-15-2020,21284
59107759,COMPLETED,9,64,11-25-2017,5114
59107760,COMPLETED,8,4,03-05-2018,6421
59107761,COMPLETED,4,12,08-24-2020,4725
59107762,COMPLETED,9,12,12-25-2018,21878
59107763,COMPLETED,8,2,12-25-2018,98524
59107766,COMPLETED,8,24,05-04-2022,239
59107771,COMPLETED,8,11,11-25-2018,16918
59107772,COMPLETED,8,11,11-25-2018,19363
59107782,COMPLETED,6,12,,14131
59107783,COMPLETED,6,1,02-11-2018,18617
59107784,COMPLETED,5,6,,15811
59107785,COMPLETED,6,1,,18619
59107786,COMPLETED,8,12,12-28-2018,101165
59107787,COMPLETED,6,13,02-01-2018,20849
59107788,COMPLETED,7,12,07-27-2018,99699
59107789,COMPLETED,8,12,12-29-2018,102977
59107791,COMPLETED,9,12,11-04-2018,100922
59107795,COMPLETED,7,12,04-14-2020,99748
59107797,COMPLETED,1,1,03-23-2019,413
59107799,COMPLETED,7,12,03-03-2019,101351
59107801,COMPLETED,7,13,01-22-2018,15809
59107802,COMPLETED,8,13,01-04-2018,100977
59107803,COMPLETED,7,1,12-28-2018,105662
59107805,COMPLETED,6,13,,270
59107806,COMPLETED,8,10,12-22-2017,777
59107807,COMPLETED,7,3,04-04-2018,11077
59107811,COMPLETED,7,11,03-10-2022,5630
59107813,COMPLETED,5,12,04-10-2020,8074
59107814,COMPLETED,7,13,12-03-2018,20634
59107819,COMPLETED,9,1,04-16-2018,578
59107820,COMPLETED,8,12,01-14-2018,98707
59107821,COMPLETED,9,1,03-26-2019,431
59107822,COMPLETED,9,148,,11061
59107823,COMPLETED,7,12,03-24-2019,98596
59107824,COMPLETED,8,11,01-02-2018,97922
59107828,COMPLETED,3,6,08-29-2020,101970
59107829,COMPLETED,7,12,05-26-2020,10357
59107830,COMPLETED,7,13,09-04-2018,21033
59107831,COMPLETED,9,26,04-09-2019,14719
59107832,COMPLETED,8,39,07-24-2019,21450
59107833,COMPLETED,8,39,09-23-2019,102883
59107834,COMPLETED,9,24,04-18-2019,20474
59107835,COMPLETED,9,24,04-22-2019,20799
59107836,COMPLETED,5,12,09-17-2020,21291
59107837,COMPLETED,7,12,04-24-2021,12413
59107838,COMPLETED,6,12,11-09-2019,20951
